"age","workclass","fnlwgt","education","education.num","marital.status","occupation","relationship","race","sex","capital.gain","capital.loss","hours.per.week","native.country","class"
76," Private",70697," HS-grad",9," Widowed"," Other-service"," Not-in-family"," White"," Female",0,0,15," United-States"," <=50K"
23," Private",520759," HS-grad",9," Never-married"," Protective-serv"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
57," Self-emp-not-inc",135134," Masters",14," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States"," >50K"
39," Private",47871," HS-grad",9," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
22," Self-emp-inc",269583," Some-college",10," Never-married"," Other-service"," Not-in-family"," White"," Male",0,0,45," United-States"," <=50K"
42," Self-emp-inc",27187," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,50," United-States"," >50K"
54," Private",249322," HS-grad",9," Married-civ-spouse"," Other-service"," Husband"," White"," Male",0,0,40," United-States"," >50K"
45," Private",234699," Some-college",10," Never-married"," Adm-clerical"," Unmarried"," Black"," Female",0,0,40," United-States"," <=50K"
67," Private",154035," Bachelors",13," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,15," United-States"," <=50K"
31," Private",128567," 9th",5," Divorced"," Other-service"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
51," Private",340588," Masters",14," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
25," Private",242729," 7th-8th",4," Never-married"," Farming-fishing"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
40," Private",195488," Some-college",10," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,55," United-States"," >50K"
34," Private",37676," Assoc-acdm",12," Divorced"," Exec-managerial"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
22," Private",234474," Bachelors",13," Never-married"," Prof-specialty"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
52," Private",89534," 11th",7," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",0,0,32," United-States"," <=50K"
42," Local-gov",121718," Masters",14," Married-civ-spouse"," Prof-specialty"," Wife"," White"," Female",0,0,40," United-States"," >50K"
53," State-gov",116367," Some-college",10," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States"," >50K"
42," Self-emp-not-inc",336513," 7th-8th",4," Never-married"," Craft-repair"," Own-child"," White"," Male",0,3900,40," United-States"," <=50K"
57," Self-emp-not-inc",57071," HS-grad",9," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
49," State-gov",423222," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,60," United-States"," <=50K"
22," Private",129508," Some-college",10," Never-married"," Other-service"," Own-child"," White"," Female",0,0,40," United-States"," <=50K"
43," Private",193490," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States"," >50K"
47," Federal-gov",117628," Bachelors",13," Never-married"," Exec-managerial"," Not-in-family"," White"," Female",0,0,50," United-States"," <=50K"
64," Private",265661," Bachelors",13," Widowed"," Adm-clerical"," Not-in-family"," White"," Male",0,0,30," United-States"," <=50K"
55," Private",198145," Some-college",10," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,35," United-States"," >50K"
18," Private",96445," 12th",8," Never-married"," Sales"," Own-child"," White"," Female",0,0,20," United-States"," <=50K"
23," Private",378546," 9th",5," Never-married"," Craft-repair"," Own-child"," White"," Male",0,0,21," United-States"," <=50K"
61," Private",197286," HS-grad",9," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,40," United-States"," >50K"
50," Self-emp-inc",104849," Assoc-acdm",12," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,50," Italy"," >50K"
46," State-gov",27802," Some-college",10," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,38," United-States"," <=50K"
49," Private",166809," Bachelors",13," Divorced"," Adm-clerical"," Not-in-family"," White"," Male",0,0,38," England"," <=50K"
50," Local-gov",370733," HS-grad",9," Divorced"," Adm-clerical"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
38," Private",172538," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States"," >50K"
34," Private",182691," HS-grad",9," Separated"," Other-service"," Unmarried"," Black"," Female",0,0,30," United-States"," <=50K"
25," Private",90752," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States"," >50K"
29," Private",100405," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Wife"," White"," Female",0,0,50," United-States"," >50K"
19," Private",136306," HS-grad",9," Never-married"," Adm-clerical"," Own-child"," White"," Female",0,0,28," United-States"," <=50K"
24," Self-emp-not-inc",267396," HS-grad",9," Never-married"," Craft-repair"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
42," Self-emp-not-inc",214242," HS-grad",9," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,60," United-States"," <=50K"
20," Private",196678," Some-college",10," Never-married"," Other-service"," Own-child"," White"," Female",0,0,20," United-States"," <=50K"
18," Private",71792," 10th",6," Never-married"," Machine-op-inspct"," Own-child"," White"," Male",0,0,16," United-States"," <=50K"
19," Private",129151," 10th",6," Never-married"," Other-service"," Other-relative"," White"," Female",0,0,40," United-States"," <=50K"
50," Private",123174," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,1887,47," United-States"," >50K"
29," Private",663394," HS-grad",9," Married-civ-spouse"," Other-service"," Other-relative"," Black"," Male",0,0,30," United-States"," <=50K"
19," Federal-gov",255921," HS-grad",9," Never-married"," Adm-clerical"," Not-in-family"," Black"," Female",0,1721,40," United-States"," <=50K"
57," Self-emp-inc",180211," Prof-school",15," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",15024,0,60," United-States"," >50K"
67," ?",53588," HS-grad",9," Married-civ-spouse"," ?"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
49," Private",129513," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,1887,40," United-States"," >50K"
36," Private",279485," Bachelors",13," Never-married"," Sales"," Not-in-family"," Black"," Male",0,0,40," United-States"," <=50K"
37," Private",224541," Some-college",10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
39," Private",279272," Assoc-voc",11," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",3103,0,50," United-States"," >50K"
23," Federal-gov",41031," Masters",14," Never-married"," Tech-support"," Not-in-family"," White"," Female",0,0,35," United-States"," <=50K"
34," State-gov",118551," Bachelors",13," Never-married"," Prof-specialty"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
57," ?",403625," Masters",14," Married-civ-spouse"," ?"," Husband"," White"," Male",0,0,54," United-States"," <=50K"
35," Private",361888," Some-college",10," Divorced"," Tech-support"," Not-in-family"," Asian-Pac-Islander"," Male",0,0,40," United-States"," >50K"
50," Private",269095," Bachelors",13," Divorced"," Tech-support"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"
22," Private",194829," Assoc-voc",11," Never-married"," Adm-clerical"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"
47," Private",30457," Some-college",10," Married-civ-spouse"," Exec-managerial"," Wife"," White"," Female",0,0,28," United-States"," >50K"
50," Private",159650," Some-college",10," Married-civ-spouse"," Tech-support"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
34," Private",100950," Bachelors",13," Divorced"," Craft-repair"," Unmarried"," White"," Female",0,0,32," United-States"," <=50K"
40," Local-gov",180123," HS-grad",9," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
40," Self-emp-inc",64885," Bachelors",13," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",7688,0,50," England"," >50K"
26," Private",213625," Bachelors",13," Never-married"," Adm-clerical"," Not-in-family"," White"," Male",0,2001,45," United-States"," <=50K"
21," Local-gov",212780," 12th",8," Never-married"," Adm-clerical"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
35," Private",336793," Assoc-acdm",12," Never-married"," Transport-moving"," Not-in-family"," White"," Male",8614,0,40," United-States"," >50K"
53," State-gov",58913," HS-grad",9," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",7298,0,50," United-States"," >50K"
32," Self-emp-not-inc",112115," HS-grad",9," Married-civ-spouse"," Other-service"," Husband"," White"," Male",0,0,30," United-States"," <=50K"
41," Private",169628," Assoc-acdm",12," Divorced"," Prof-specialty"," Not-in-family"," White"," Female",0,0,46," United-States"," <=50K"
25," Private",117827," Bachelors",13," Never-married"," Craft-repair"," Own-child"," White"," Male",0,0,50," United-States"," <=50K"
42," Private",97688," HS-grad",9," Married-civ-spouse"," Other-service"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
42," Private",150568," Some-college",10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
62," Private",134768," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,35," United-States"," >50K"
30," Private",229895," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," United-States"," >50K"
42," Private",212894," Assoc-voc",11," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",3471,0,60," United-States"," <=50K"
31," Private",144064," HS-grad",9," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",0,0,48," United-States"," >50K"
26," Private",212800," HS-grad",9," Divorced"," Machine-op-inspct"," Own-child"," White"," Male",0,0,48," Puerto-Rico"," <=50K"
42," Self-emp-not-inc",436107," Some-college",10," Married-civ-spouse"," Other-service"," Husband"," White"," Male",0,0,60," United-States"," <=50K"
23," Private",184255," HS-grad",9," Never-married"," Handlers-cleaners"," Own-child"," Asian-Pac-Islander"," Male",0,0,40," India"," <=50K"
33," Self-emp-inc",144949," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,2179,50," United-States"," <=50K"
40," State-gov",229364," HS-grad",9," Separated"," Other-service"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
56," Private",274111," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
45," Private",148995," Bachelors",13," Widowed"," Sales"," Unmarried"," Black"," Female",0,0,30," United-States"," <=50K"
49," Private",182211," HS-grad",9," Divorced"," Protective-serv"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
59," State-gov",349910," Bachelors",13," Married-civ-spouse"," Adm-clerical"," Husband"," Black"," Male",0,0,5," United-States"," <=50K"
64," Private",149044," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States"," >50K"
23," Private",180771," HS-grad",9," Never-married"," Handlers-cleaners"," Own-child"," Black"," Male",0,0,25," United-States"," <=50K"
65," Self-emp-not-inc",172949," Prof-school",15," Separated"," Sales"," Unmarried"," White"," Female",14084,0,40," United-States"," >50K"
17," ?",228373," 11th",7," Never-married"," ?"," Other-relative"," Black"," Female",0,0,25," United-States"," <=50K"
62," Private",200332," HS-grad",9," Widowed"," Sales"," Not-in-family"," White"," Female",0,0,35," United-States"," <=50K"
30," Private",31985," HS-grad",9," Never-married"," Farming-fishing"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
17," Private",51939," 11th",7," Never-married"," Handlers-cleaners"," Own-child"," White"," Male",0,0,26," United-States"," <=50K"
62," ?",181063," 10th",6," Married-civ-spouse"," ?"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
35," Private",385847," Some-college",10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
29," Private",201155," 9th",5," Married-civ-spouse"," Protective-serv"," Husband"," White"," Male",0,0,50," United-States"," >50K"
41," Self-emp-not-inc",83411," Some-college",10," Widowed"," Exec-managerial"," Unmarried"," White"," Female",0,0,60," United-States"," <=50K"
43," Private",115178," Assoc-voc",11," Married-civ-spouse"," Adm-clerical"," Wife"," White"," Female",0,0,40," Germany"," >50K"
26," Private",386585," Some-college",10," Never-married"," Sales"," Not-in-family"," White"," Male",0,0,55," United-States"," <=50K"
40," State-gov",177083," Masters",14," Never-married"," Prof-specialty"," Not-in-family"," White"," Male",4865,0,40," United-States"," <=50K"
63," Self-emp-inc",96930," 10th",6," Married-spouse-absent"," Farming-fishing"," Unmarried"," White"," Male",27828,0,60," United-States"," >50K"
46," Self-emp-not-inc",176863," Masters",14," Married-civ-spouse"," Exec-managerial"," Wife"," White"," Female",0,0,50," United-States"," >50K"
34," State-gov",216283," Some-college",10," Married-civ-spouse"," Protective-serv"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
33," Private",356015," HS-grad",9," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
19," Private",263340," HS-grad",9," Never-married"," Other-service"," Other-relative"," Black"," Male",0,0,40," United-States"," <=50K"
40," Self-emp-not-inc",199303," Assoc-acdm",12," Divorced"," Craft-repair"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
27," Private",394927," Some-college",10," Never-married"," Sales"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
17," Private",232713," 11th",7," Married-civ-spouse"," Machine-op-inspct"," Other-relative"," White"," Female",0,0,30," ?"," >50K"
39," Private",294919," HS-grad",9," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",0,0,40," United-States"," >50K"
46," Private",147640," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",99999,0,50," United-States"," >50K"
35," ?",35854," Some-college",10," Never-married"," ?"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
51," Private",138847," HS-grad",9," Divorced"," Craft-repair"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
33," Private",188246," Assoc-acdm",12," Divorced"," Craft-repair"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
29," Private",183639," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,50," United-States"," <=50K"
24," Private",282202," HS-grad",9," Never-married"," Craft-repair"," Unmarried"," White"," Male",0,0,40," United-States"," <=50K"
41," Self-emp-not-inc",26598," Some-college",10," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",0,0,70," United-States"," <=50K"
44," ?",248876," Bachelors",13," Divorced"," ?"," Not-in-family"," White"," Female",0,0,44," United-States"," <=50K"
58," Private",255822," Assoc-voc",11," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",7688,0,40," United-States"," >50K"
59," State-gov",268700," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
38," Private",136137," Some-college",10," Divorced"," Adm-clerical"," Unmarried"," Black"," Female",0,0,32," United-States"," <=50K"
42," Private",70055," HS-grad",9," Divorced"," Exec-managerial"," Unmarried"," White"," Female",0,0,39," United-States"," <=50K"
49," ?",271346," Some-college",10," Married-civ-spouse"," ?"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
23," Self-emp-not-inc",236804," Some-college",10," Never-married"," Prof-specialty"," Not-in-family"," White"," Male",0,0,50," United-States"," <=50K"
19," Private",240468," Some-college",10," Never-married"," Sales"," Own-child"," White"," Male",0,1602,30," United-States"," <=50K"
58," Private",119751," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,25," United-States"," >50K"
66," Local-gov",179285," Doctorate",16," Married-civ-spouse"," Prof-specialty"," Wife"," Asian-Pac-Islander"," Female",0,1977,40," Taiwan"," >50K"
25," Private",189775," HS-grad",9," Never-married"," Adm-clerical"," Unmarried"," Black"," Male",0,0,35," United-States"," <=50K"
49," Private",182211," Some-college",10," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,60," United-States"," <=50K"
23," Self-emp-not-inc",121313," HS-grad",9," Never-married"," Other-service"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
21," Private",316509," HS-grad",9," Never-married"," Craft-repair"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
44," Private",212894," HS-grad",9," Divorced"," Craft-repair"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
58," Private",94345," HS-grad",9," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
40," Private",168071," HS-grad",9," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
69," ?",163595," HS-grad",9," Married-civ-spouse"," ?"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
28," Private",188711," Assoc-voc",11," Divorced"," Other-service"," Not-in-family"," White"," Female",0,0,60," United-States"," <=50K"
33," Private",594187," Bachelors",13," Married-civ-spouse"," Sales"," Husband"," White"," Male",99999,0,99," United-States"," >50K"
40," Private",53727," Bachelors",13," Divorced"," Tech-support"," Unmarried"," White"," Female",0,0,20," England"," <=50K"
32," Private",283400," Assoc-acdm",12," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,25," United-States"," >50K"
22," Private",61850," Some-college",10," Never-married"," Transport-moving"," Unmarried"," White"," Male",0,0,20," United-States"," <=50K"
34," Private",561334," HS-grad",9," Divorced"," Sales"," Not-in-family"," White"," Male",0,0,48," United-States"," <=50K"
19," Private",136306," Some-college",10," Never-married"," Adm-clerical"," Own-child"," White"," Female",0,0,30," ?"," <=50K"
37," Private",421633," HS-grad",9," Divorced"," Craft-repair"," Unmarried"," White"," Male",0,0,40," United-States"," <=50K"
58," Self-emp-not-inc",49884," Some-college",10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,24," United-States"," <=50K"
43," Private",170230," Some-college",10," Divorced"," Adm-clerical"," Not-in-family"," White"," Male",0,0,48," United-States"," >50K"
31," ?",317761," Doctorate",16," Separated"," ?"," Unmarried"," Black"," Male",25236,0,16," United-States"," >50K"
29," Private",299705," HS-grad",9," Never-married"," Adm-clerical"," Own-child"," White"," Male",0,0,20," United-States"," <=50K"
35," Private",112158," HS-grad",9," Separated"," Craft-repair"," Not-in-family"," White"," Male",0,0,43," United-States"," <=50K"
57," Private",140426," Bachelors",13," Widowed"," Prof-specialty"," Unmarried"," Black"," Male",0,0,40," United-States"," <=50K"
70," ?",148065," Some-college",10," Married-civ-spouse"," ?"," Wife"," White"," Female",0,0,6," United-States"," <=50K"
49," Private",192894," HS-grad",9," Divorced"," Sales"," Not-in-family"," White"," Female",0,0,35," United-States"," <=50K"
46," Private",102771," HS-grad",9," Married-civ-spouse"," Protective-serv"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
43," Private",194726," Some-college",10," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,60," United-States"," <=50K"
23," Private",319842," Some-college",10," Married-civ-spouse"," Machine-op-inspct"," Wife"," White"," Female",3781,0,40," United-States"," <=50K"
29," Private",35032," Some-college",10," Never-married"," Other-service"," Not-in-family"," White"," Male",0,0,24," United-States"," <=50K"
52," Private",147629," Some-college",10," Divorced"," Exec-managerial"," Not-in-family"," White"," Female",0,0,60," United-States"," <=50K"
23," Private",189468," Some-college",10," Married-civ-spouse"," Other-service"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
56," Local-gov",129762," HS-grad",9," Married-civ-spouse"," Other-service"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
46," State-gov",170165," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",7298,0,40," United-States"," >50K"
48," Private",240231," 11th",7," Divorced"," Other-service"," Not-in-family"," White"," Female",0,0,34," United-States"," <=50K"
39," Private",192251," HS-grad",9," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",0,0,45," United-States"," <=50K"
44," Private",307468," Prof-school",15," Married-spouse-absent"," Prof-specialty"," Not-in-family"," White"," Male",14084,0,40," United-States"," >50K"
33," Private",182792," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Wife"," White"," Female",0,0,45," United-States"," >50K"
77," Self-emp-inc",80986," HS-grad",9," Widowed"," Sales"," Unmarried"," White"," Female",18481,0,60," United-States"," >50K"
41," Local-gov",523910," Bachelors",13," Divorced"," Adm-clerical"," Unmarried"," White"," Male",99999,0,40," United-States"," >50K"
59," ?",182836," Bachelors",13," Married-civ-spouse"," ?"," Husband"," White"," Male",0,0,24," United-States"," >50K"
50," Private",38795," Bachelors",13," Never-married"," Transport-moving"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
50," Federal-gov",343014," Some-college",10," Divorced"," Protective-serv"," Not-in-family"," White"," Male",0,0,25," United-States"," <=50K"
18," Private",242893," HS-grad",9," Never-married"," Adm-clerical"," Not-in-family"," White"," Male",0,0,20," Jamaica"," <=50K"
27," Private",130067," Assoc-voc",11," Never-married"," Exec-managerial"," Not-in-family"," White"," Male",0,0,60," United-States"," <=50K"
31," Private",168387," Bachelors",13," Married-spouse-absent"," Prof-specialty"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
45," Private",172822," Assoc-acdm",12," Divorced"," Craft-repair"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
49," Local-gov",174981," Masters",14," Married-civ-spouse"," Prof-specialty"," Husband"," Black"," Male",0,0,10," Haiti"," >50K"
57," Private",121362," HS-grad",9," Married-civ-spouse"," Priv-house-serv"," Other-relative"," White"," Female",0,0,35," United-States"," <=50K"
42," Local-gov",255675," HS-grad",9," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,1740,40," United-States"," >50K"
21," State-gov",258490," Some-college",10," Never-married"," Prof-specialty"," Own-child"," White"," Female",5455,0,40," United-States"," <=50K"
43," Private",185832," Assoc-voc",11," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
21," Self-emp-not-inc",409230," HS-grad",9," Never-married"," Craft-repair"," Other-relative"," White"," Male",0,0,40," United-States"," <=50K"
30," Private",54608," Bachelors",13," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,40," United-States"," >50K"
59," Private",90290," Doctorate",16," Married-civ-spouse"," Tech-support"," Husband"," White"," Male",0,1902,40," United-States"," >50K"
29," Private",236992," HS-grad",9," Married-civ-spouse"," Adm-clerical"," Wife"," White"," Female",3103,0,40," United-States"," >50K"
42," Private",161510," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",7298,0,52," United-States"," >50K"
61," Private",69867," 7th-8th",4," Divorced"," Sales"," Not-in-family"," Other"," Male",0,0,40," Puerto-Rico"," <=50K"
41," Private",173682," 7th-8th",4," Never-married"," Machine-op-inspct"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
45," Federal-gov",183804," HS-grad",9," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,40," United-States"," >50K"
52," Private",225317," 1st-4th",2," Married-civ-spouse"," Machine-op-inspct"," Husband"," Black"," Male",0,0,40," Dominican-Republic"," <=50K"
