Age,Workclass,Fnlwgt,Education,Education-Num,Marital-Status,Occupation,Relationship,Race,Sex,Capital-Gain,Capital-Loss,Hours-per-week,Native-Country,Income
33, Private,159530, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,-7,1,40, United-States, >50K
49, State-gov,129143, Some-college,10, Separated, Tech-support, Unmarried, White, Male,14,1,40, United-States, <=50K
67, Self-emp-not-inc,245909, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,-20,0,44, United-States, <=50K
56, Private,382599, HS-grad,9, Widowed, Handlers-cleaners, Husband, White, Male,-3,-1,40, United-States, <=50K
25, Private,179135, 7th-8th,7, Married-civ-spouse, Sales, Husband, White, Male,-1,1827,40, Japan, <=50K
51, Never-worked,234581, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,20,0,45, Dominican-Republic, <=50K
21, Private,99573, Some-college,10, Never-married, Protective-serv, Own-child, White, Male,-45,-1,8, Puerto-Rico, <=50K
30, Private,110941, Some-college,10, Married-civ-spouse, Prof-specialty, Own-child, White, Male,-23,1,40, United-States, >50K
24, Private,336936, Bachelors,10, Separated, Other-service, Not-in-family, White, Female,-11,2,73, United-States, <=50K
43, State-gov,325651, Bachelors,13, Never-married, ?, Unmarried, Black, Female,12,0,67, United-States, <=50K
40, Local-gov,74500, Assoc-voc,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,-20,-2,40, Haiti, >50K
18, Private,410706, 5th-6th,6, Never-married, Sales, Own-child, White, Male,3860,-1,13, England, <=50K
21, ?,239097, HS-grad,9, Married-civ-spouse, Tech-support, Husband, White, Male,-14,0,44, United-States, <=50K
49, Self-emp-not-inc,398307, Prof-school,4, Married-civ-spouse, Transport-moving, Husband, White, Male,-14,1,40, United-States, <=50K
49, Self-emp-not-inc,194892, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,-22,-2,59, United-States, >50K
45, Self-emp-not-inc,372568, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,-28,0,40, United-States, <=50K
37, Local-gov,164982, Bachelors,13, Separated, Prof-specialty, Not-in-family, White, Female,-2,0,50, United-States, >50K
23, Private,190733, HS-grad,11, Never-married, ?, Not-in-family, White, Male,-16,0,22, United-States, <=50K
45, Private,26854, HS-grad,3, Married-civ-spouse, Protective-serv, Husband, Amer-Indian-Eskimo, Male,-17,0,40, United-States, <=50K
33, Local-gov,118790, Some-college,7, Married-civ-spouse, Farming-fishing, Husband, White, Male,-22,0,75, United-States, <=50K
49, Local-gov,247007, 10th,10, Divorced, ?, Unmarried, White, Female,18,-1,40, Puerto-Rico, <=50K
45, ?,99341, Bachelors,9, Never-married, Adm-clerical, Own-child, White, Female,-16,1,40, United-States, <=50K
56, Private,253011, 9th,10, Never-married, Adm-clerical, Own-child, Black, Male,38,2,30, United-States, <=50K
25, Federal-gov,190989, Some-college,11, Never-married, Craft-repair, Other-relative, White, Female,-24,0,21, United-States, <=50K
32, Never-worked,27360, Bachelors,6, Divorced, Prof-specialty, Own-child, White, Female,-35,1,71, United-States, <=50K
47, Private,43274, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Male,-18,0,40, United-States, <=50K
47, Local-gov,27620, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,3,1,64, United-States, >50K
40, Private,220988, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, Other, Female,-15,2187,50, United-States, <=50K
40, Private,94306, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,5,-1,66, United-States, <=50K
26, Private,43464, 11th,10, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,-25,1,16, United-States, <=50K
29, State-gov,109977, Some-college,11, Widowed, Farming-fishing, Unmarried, White, Male,-6,0,40, United-States, <=50K
16, ?,44293, Bachelors,10, Never-married, ?, Own-child, White, Male,-45,-1,27, United-States, <=50K
33, Private,217723, Some-college,10, Never-married, ?, Own-child, White, Male,-59,-1,40, Mexico, <=50K
49, Private,107943, HS-grad,6, Separated, Adm-clerical, Unmarried, White, Female,-18,1,50, United-States, <=50K
45, Private,30842, HS-grad,4, Married-civ-spouse, Craft-repair, Husband, White, Male,-3,1860,46, United-States, <=50K
22, Federal-gov,94349, Prof-school,13, Divorced, Exec-managerial, Wife, White, Female,77,0,44, United-States, >50K
21, Private,109230, Some-college,10, Never-married, ?, Own-child, White, Male,-84,-1,26, Mexico, <=50K
24, ?,221807, HS-grad,7, Never-married, Exec-managerial, Other-relative, White, Male,23,0,40, United-States, <=50K
44, Private,237191, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Black, Male,-23,1,37, United-States, <=50K
48, ?,110958, 5th-6th,6, Never-married, ?, Not-in-family, White, Female,-12,-1,8, United-States, <=50K
41, Private,34977, Bachelors,13, Divorced, Prof-specialty, Not-in-family, White, Female,-5,0,40, Dominican-Republic, <=50K
61, Private,128793, 9th,6, Never-married, Adm-clerical, Not-in-family, White, Female,-36,-1,34, Mexico, <=50K
43, Local-gov,105974, Some-college,11, Married-civ-spouse, Transport-moving, Husband, White, Male,-23,-2,67, United-States, <=50K
43, Private,201412, HS-grad,11, Separated, Adm-clerical, Unmarried, White, Female,-13,-1,40, United-States, <=50K
19, ?,323895, Some-college,10, Never-married, ?, Own-child, White, Male,-22,-1,11, United-States, <=50K
37, State-gov,204588, Bachelors,7, Divorced, ?, Unmarried, White, Female,0,0,38, United-States, <=50K
22, ?,271078, 5th-6th,10, Divorced, ?, Own-child, White, Female,-35,-2,23, United-States, <=50K
40, Private,83780, 9th,9, Widowed, Sales, Husband, White, Female,19,1,22, United-States, <=50K
51, Self-emp-not-inc,189753, HS-grad,13, Married-civ-spouse, Handlers-cleaners, Husband, Asian-Pac-Islander, Male,2,0,60, Nicaragua, <=50K
44, Private,124530, Some-college,10, Never-married, Handlers-cleaners, Not-in-family, White, Male,7,-1,31, Jamaica, <=50K
36, Private,195353, Assoc-acdm,10, Never-married, Handlers-cleaners, Not-in-family, Black, Male,-20,0,27, India, <=50K
23, ?,222835, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,-6,1,22, United-States, <=50K
44, Private,192551, Prof-school,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,-35,-1,45, United-States, >50K
50, Self-emp-not-inc,98856, Bachelors,14, Married-civ-spouse, Exec-managerial, Husband, White, Female,20,-1,40, United-States, >50K
46, ?,131180, 9th,10, Never-married, Prof-specialty, Other-relative, White, Male,5,0,45, China, <=50K
27, Self-emp-not-inc,328109, Some-college,10, Never-married, Transport-moving, Other-relative, White, Male,-30,0,35, United-States, <=50K
43, Federal-gov,129304, Bachelors,13, Divorced, Adm-clerical, Unmarried, White, Female,-6,-1,40, Ecuador, >50K
44, Private,235978, HS-grad,11, Married-civ-spouse, Sales, Husband, White, Male,-32,0,82, United-States, <=50K
31, Private,348257, HS-grad,7, Never-married, Adm-clerical, Not-in-family, Black, Male,-10,-1,60, United-States, <=50K
37, State-gov,124418, 5th-6th,7, Never-married, Handlers-cleaners, Not-in-family, White, Male,-44,-1,37, United-States, <=50K
20, Private,110226, 11th,7, Never-married, Other-service, Own-child, White, Male,42,-1,23, United-States, <=50K
21, Self-emp-not-inc,237393, Some-college,10, Never-married, Exec-managerial, Other-relative, Asian-Pac-Islander, Male,6,0,37, United-States, <=50K
22, Private,217623, Masters,13, Married-spouse-absent, Adm-clerical, Husband, Asian-Pac-Islander, Male,0,-1,62, United-States, <=50K
47, Private,193744, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,-6,1,40, ?, <=50K
38, Private,206286, Bachelors,9, Married-civ-spouse, Transport-moving, Husband, White, Male,28,0,60, United-States, >50K
46, State-gov,305371, HS-grad,9, Married-civ-spouse, Sales, Wife, White, Male,-3,-1,57, United-States, <=50K
20, Private,34416, 12th,7, Married-civ-spouse, Sales, Wife, White, Female,23,1,50, United-States, <=50K
43, Private,233484, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,-17,0,49, United-States, <=50K
24, ?,307881, Bachelors,13, Divorced, Adm-clerical, Not-in-family, White, Female,-39,-2,60, United-States, <=50K
17, ?,38090, Some-college,10, Never-married, ?, Own-child, White, Male,20,0,31, United-States, <=50K
21, Self-emp-not-inc,215121, HS-grad,16, Married-civ-spouse, Sales, Husband, White, Male,-7,1,45, United-States, <=50K
51, Private,126741, Bachelors,13, Widowed, Exec-managerial, Unmarried, White, Female,-39,0,40, United-States, <=50K
15, Local-gov,127967, Bachelors,7, Never-married, ?, Own-child, White, Male,-11,0,18, United-States, <=50K
54, Private,245890, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,-5,-1,37, United-States, <=50K
29, ?,179691, Bachelors,9, Divorced, Adm-clerical, Not-in-family, White, Female,-29,-1,40, United-States, <=50K
44, ?,39622, Some-college,10, Divorced, ?, Not-in-family, White, Male,14,0,72, United-States, <=50K
22, Private,96115, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Male,14,2,51, United-States, <=50K
26, Private,130138, Assoc-acdm,7, Divorced, Adm-clerical, Unmarried, Black, Female,-11,-1,50, United-States, <=50K
39, Private,35682, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,27,0,40, United-States, <=50K
19, ?,119191, Some-college,6, Never-married, ?, Own-child, White, Male,-32,1,35, United-States, <=50K
43, Private,118543, Bachelors,13, Married-civ-spouse, Exec-managerial, Wife, White, Male,6944,0,40, Vietnam, >50K
61, Private,37192, Assoc-acdm,4, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,-3,0,45, United-States, <=50K
45, Local-gov,128821, Doctorate,13, Widowed, Adm-clerical, Not-in-family, White, Female,-28,-2,59, United-States, >50K
26, Private,110389, 5th-6th,6, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,31,-2,40, United-States, <=50K
29, Private,21575, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,-31,-1,71, United-States, <=50K
39, Private,359016, HS-grad,7, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,-23,0,40, United-States, <=50K
24, ?,273358, 11th,13, Never-married, ?, Own-child, White, Male,4,-1,46, United-States, <=50K
42, State-gov,242906, Bachelors,13, Divorced, Prof-specialty, Unmarried, White, Female,-2,-1,40, United-States, <=50K
24, Private,205430, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,9,1,50, United-States, <=50K
23, State-gov,233807, Some-college,10, Divorced, Protective-serv, Not-in-family, White, Male,-17,-1,40, United-States, <=50K
42, Private,46160, HS-grad,9, Divorced, Exec-managerial, Wife, White, Male,19,1,50, United-States, <=50K
43, Local-gov,245536, HS-grad,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,-1,0,38, Iran, <=50K
58, Private,429535, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Black, Male,2,-1,40, United-States, <=50K
22, ?,185443, Bachelors,7, Divorced, Other-service, Unmarried, Black, Female,-6,-1,30, United-States, <=50K
41, Private,53870, Bachelors,9, Separated, Machine-op-inspct, Unmarried, Black, Male,-10,1,40, United-States, <=50K
40, Self-emp-not-inc,33587, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, Black, Female,8,1,44, Yugoslavia, >50K
46, Private,214342, Some-college,13, Divorced, Adm-clerical, Not-in-family, White, Female,-15,-1,23, United-States, <=50K
46, Private,97470, 10th,7, Never-married, Priv-house-serv, Not-in-family, White, Male,4,0,21, United-States, <=50K
44, Private,29325, HS-grad,7, Married-spouse-absent, Other-service, Not-in-family, White, Male,-21,1,46, United-States, <=50K
23, Self-emp-not-inc,90468, Some-college,10, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,-3,-1,13, United-States, <=50K
19, Private,234480, 10th,9, Never-married, Other-service, Own-child, White, Male,-19,-1,15, United-States, <=50K
25, Self-emp-not-inc,266778, HS-grad,9, Widowed, Machine-op-inspct, Wife, White, Male,-34,0,40, Hong, <=50K
24, Private,81947, HS-grad,9, Divorced, Machine-op-inspct, Wife, White, Female,30,0,40, United-States, <=50K
26, Private,311497, Bachelors,10, Never-married, Adm-clerical, Husband, White, Male,6,0,47, China, <=50K
39, Local-gov,116488, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,-20,0,45, El-Salvador, >50K
20, Private,232827, Some-college,10, Never-married, Craft-repair, Own-child, White, Male,-5,0,36, United-States, <=50K
38, Private,34834, Assoc-voc,14, Divorced, Sales, Own-child, Asian-Pac-Islander, Female,-26,1,97, United-States, <=50K
41, Federal-gov,219470, Masters,13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Female,7270,0,40, United-States, >50K
45, Local-gov,135497, Bachelors,14, Divorced, Prof-specialty, Not-in-family, White, Female,-30,-2,36, United-States, <=50K
46, State-gov,316816, 9th,4, Divorced, Craft-repair, Unmarried, Amer-Indian-Eskimo, Female,-43,-1,40, United-States, <=50K
25, Private,285602, 5th-6th,9, Married-civ-spouse, ?, Unmarried, White, Male,-16,-1,40, Philippines, <=50K
21, Local-gov,209927, Doctorate,13, Never-married, Adm-clerical, Not-in-family, White, Male,22,1,40, United-States, <=50K
16, ?,184229, 10th,7, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Male,-9,0,30, United-States, <=50K
54, Private,223548, HS-grad,9, Married-spouse-absent, Other-service, Husband, White, Male,-42,0,40, United-States, <=50K
40, Private,106407, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,-43,-1,40, United-States, <=50K
64, Private,200100, Bachelors,13, Divorced, Sales, Not-in-family, White, Female,-33,2,40, United-States, <=50K
41, Self-emp-not-inc,414334, 1st-4th,6, Never-married, Protective-serv, Not-in-family, White, Female,-32,0,44, United-States, >50K
24, Private,51549, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Male,-34,-3,40, Peru, <=50K
18, Private,219596, HS-grad,9, Married-civ-spouse, Sales, Husband, Black, Male,-22,1658,45, United-States, <=50K
34, Private,173334, Bachelors,9, Never-married, Exec-managerial, Not-in-family, Other, Male,1,0,40, United-States, <=50K
54, Private,224895, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,-23,0,40, United-States, <=50K
60, Self-emp-not-inc,270476, HS-grad,6, Never-married, Craft-repair, Husband, White, Male,-64,0,36, United-States, <=50K
50, Private,233166, HS-grad,5, Never-married, Handlers-cleaners, Own-child, White, Male,-18,1988,44, United-States, <=50K
43, Private,112107, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,40,1,40, United-States, <=50K
41, Private,119418, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,-14,-1,40, United-States, <=50K
33, Self-emp-not-inc,129570, Bachelors,6, Separated, Adm-clerical, Not-in-family, White, Male,7,-1,40, United-States, <=50K
18, State-gov,45410, Bachelors,13, Divorced, Machine-op-inspct, Not-in-family, White, Female,-17,-2,46, United-States, <=50K
52, Self-emp-not-inc,279795, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,2,1,40, United-States, <=50K
39, Self-emp-inc,118619, Bachelors,13, Divorced, Prof-specialty, Not-in-family, White, Male,33,-1,44, United-States, <=50K
39, ?,270602, Bachelors,10, Divorced, Prof-specialty, Wife, White, Female,0,0,60, United-States, >50K
36, Self-emp-not-inc,198783, Prof-school,14, Married-civ-spouse, Prof-specialty, Own-child, White, Male,-12,0,40, United-States, >50K
48, Private,34490, HS-grad,14, Married-civ-spouse, Craft-repair, Husband, White, Male,-3,-1,45, United-States, >50K
24, Private,109390, Masters,4, Married-civ-spouse, Transport-moving, Wife, White, Male,14668,1,40, United-States, >50K
24, Self-emp-not-inc,73665, HS-grad,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,-39,1,40, United-States, >50K
51, Private,33923, HS-grad,9, Separated, Protective-serv, Unmarried, Black, Female,-41,1,30, United-States, <=50K
34, Private,47124, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Male,-35,-1,44, United-States, <=50K
20, Private,172296, Bachelors,13, Never-married, Craft-repair, Own-child, White, Male,26,0,36, United-States, <=50K
54, Self-emp-not-inc,30522, Doctorate,7, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,-1,1,40, United-States, >50K
59, Federal-gov,138873, Assoc-acdm,11, Married-civ-spouse, Other-service, Wife, White, Female,-26,1,40, United-States, <=50K
18, ?,89469, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Male,-35,0,45, United-States, <=50K
39, State-gov,81151, Bachelors,13, Never-married, Handlers-cleaners, Not-in-family, White, Male,18,1,46, United-States, <=50K
45, Local-gov,316546, HS-grad,13, Married-civ-spouse, Exec-managerial, Wife, White, Male,-15,-1,40, United-States, <=50K
23, Private,185260, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,-19,-1,50, United-States, <=50K
18, ?,181525, Some-college,7, Never-married, ?, Own-child, White, Male,-34,-1,31, United-States, <=50K
41, Private,342371, Doctorate,7, Married-civ-spouse, Craft-repair, Husband, Black, Male,-12,-2,40, United-States, <=50K
26, ?,345865, Prof-school,13, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,-19,-1,12, United-States, >50K
49, Private,115539, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Female,-31,1,62, United-States, >50K
50, Self-emp-inc,233143, 11th,11, Married-civ-spouse, ?, Wife, White, Female,7623,-1,40, Canada, >50K
63, Self-emp-not-inc,186983, Assoc-voc,6, Married-civ-spouse, Adm-clerical, Husband, White, Male,-47,1,40, United-States, <=50K
54, ?,202012, Bachelors,8, Never-married, ?, Not-in-family, White, Male,-33,0,50, United-States, <=50K
46, Private,459242, Bachelors,13, Divorced, Adm-clerical, Unmarried, White, Female,3,-2,36, United-States, <=50K
37, Private,116581, HS-grad,13, Divorced, Other-service, Not-in-family, Asian-Pac-Islander, Female,-16,1,45, Canada, <=50K
37, Local-gov,303824, Bachelors,10, Divorced, Exec-managerial, Unmarried, Black, Male,-1,2,40, El-Salvador, <=50K
45, Private,216611, Some-college,10, Divorced, Adm-clerical, Unmarried, White, Female,-12,1,15, United-States, <=50K
49, Local-gov,113910, 11th,4, Never-married, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Female,-42,0,15, United-States, <=50K
48, ?,81305, Bachelors,13, Divorced, Prof-specialty, Unmarried, Black, Female,3,-2,35, United-States, >50K
42, Private,201931, Bachelors,13, Divorced, Sales, Not-in-family, White, Male,21,2082,50, United-States, <=50K
45, Self-emp-not-inc,308183, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,19,-1,40, United-States, <=50K
24, Private,454629, 11th,13, Never-married, Prof-specialty, Own-child, White, Male,32,0,40, United-States, <=50K
41, Private,35217, 12th,7, Divorced, Transport-moving, Husband, White, Male,-26,-1,50, Canada, <=50K
42, Private,114054, HS-grad,9, Separated, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,9,0,46, United-States, <=50K
42, ?,22478, Bachelors,13, Divorced, Prof-specialty, Not-in-family, White, Female,-32,2,40, Hong, <=50K
59, ?,204765, 9th,7, Never-married, ?, Own-child, White, Female,-2,1,10, United-States, <=50K
58, State-gov,119217, Bachelors,13, Never-married, Prof-specialty, Not-in-family, Other, Female,-18,1,24, United-States, <=50K
45, ?,25744, Some-college,10, Never-married, ?, Own-child, White, Male,-46,1,20, United-States, <=50K
27, Private,606771, HS-grad,4, Never-married, Protective-serv, Other-relative, White, Male,-52,1,12, Mexico, <=50K
22, Private,251175, 10th,7, Never-married, Tech-support, Own-child, White, Male,-12,1,40, United-States, <=50K
34, Private,139694, 10th,9, Divorced, Other-service, Other-relative, White, Male,-2,2,36, United-States, <=50K
35, Self-emp-inc,132506, HS-grad,16, Married-civ-spouse, Transport-moving, Husband, White, Male,-35,1,40, United-States, >50K
45, Private,244449, Masters,13, Married-civ-spouse, Prof-specialty, Wife, Black, Male,31,1,45, United-States, >50K
43, Local-gov,102069, Assoc-voc,11, Married-civ-spouse, Prof-specialty, Husband, White, Male,-24,0,50, United-States, >50K
43, Private,89929, Bachelors,13, Divorced, Exec-managerial, Wife, White, Female,0,0,51, United-States, >50K
46, Private,212195, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,-28,0,40, United-States, <=50K
31, Local-gov,263092, 7th-8th,13, Divorced, Prof-specialty, Unmarried, White, Female,-4,0,36, United-States, <=50K
62, Self-emp-not-inc,140076, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,-1,-2,45, United-States, >50K
45, Private,166872, 10th,4, Never-married, Adm-clerical, Not-in-family, White, Male,2,1,60, United-States, <=50K
41, Private,494482, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,-10,2,40, United-States, <=50K
23, Private,103692, HS-grad,9, Never-married, Transport-moving, Husband, White, Male,-28,1,97, United-States, <=50K
55, Private,190665, 10th,7, Married-spouse-absent, Machine-op-inspct, Own-child, White, Male,-3,0,45, United-States, <=50K
18, ?,248731, HS-grad,11, Divorced, Handlers-cleaners, Not-in-family, Black, Male,20,-1,40, United-States, <=50K
64, Private,111341, HS-grad,9, Married-spouse-absent, Craft-repair, Other-relative, Other, Female,-4,0,40, United-States, <=50K
21, Private,235709, Some-college,6, Never-married, Sales, Own-child, Black, Male,-48,2,31, United-States, <=50K
40, Private,47124, Some-college,13, Separated, Machine-op-inspct, Own-child, White, Female,-1,-1,45, United-States, <=50K
49, State-gov,240513, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,3,1,45, United-States, <=50K
53, Private,45081, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,-23,-2,40, United-States, <=50K
36, Local-gov,180734, Some-college,10, Married-civ-spouse, Protective-serv, Husband, White, Male,-15,-1,40, United-States, <=50K
25, State-gov,306355, HS-grad,9, Widowed, Other-service, Unmarried, White, Female,-23,2,40, United-States, <=50K
22, Private,218340, Bachelors,13, Never-married, Prof-specialty, Own-child, White, Male,-31,0,23, United-States, <=50K
60, Private,243511, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,-45,1,36, Taiwan, <=50K
42, Private,164403, HS-grad,9, Married-civ-spouse, Tech-support, Husband, White, Female,-10,1,50, United-States, <=50K
50, Local-gov,323675, Bachelors,13, Married-civ-spouse, Protective-serv, Own-child, White, Male,-21,-2,40, Iran, <=50K
26, ?,271043, HS-grad,6, Married-civ-spouse, ?, Not-in-family, White, Male,-27,-2,40, United-States, <=50K
46, Private,152327, 12th,13, Never-married, Tech-support, Not-in-family, White, Male,-11,1,45, Japan, >50K
44, Local-gov,48462, Bachelors,13, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,6,-1,9, United-States, >50K
23, Private,176399, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,-20,1734,56, United-States, <=50K
61, Private,184627, HS-grad,4, Married-spouse-absent, Adm-clerical, Husband, White, Male,-31,-1,44, ?, <=50K
44, Private,158645, Bachelors,14, Married-civ-spouse, Exec-managerial, Wife, White, Male,15,-1,30, United-States, >50K
61, Private,43259, Masters,9, Married-civ-spouse, Exec-managerial, Husband, White, Female,-8,1,40, United-States, >50K
42, Private,182435, Bachelors,13, Married-civ-spouse, Handlers-cleaners, Not-in-family, Amer-Indian-Eskimo, Male,2368,1,40, Mexico, <=50K
58, Private,126406, Bachelors,13, Never-married, ?, Not-in-family, White, Male,-6,-1,45, United-States, <=50K
24, Self-emp-not-inc,184583, 5th-6th,10, Never-married, Farming-fishing, Own-child, White, Male,-5,0,40, El-Salvador, <=50K
33, Local-gov,274106, Bachelors,13, Never-married, Other-service, Unmarried, White, Female,22,0,70, United-States, <=50K
23, Private,205357, 10th,6, Never-married, Handlers-cleaners, Own-child, White, Male,10,0,13, United-States, <=50K
17, Self-emp-not-inc,109096, Bachelors,13, Never-married, ?, Not-in-family, White, Female,0,0,31, United-States, >50K
22, Self-emp-not-inc,179017, Bachelors,10, Never-married, ?, Unmarried, Other, Female,-7,1,49, Germany, <=50K
35, Private,248398, 10th,7, Married-civ-spouse, Exec-managerial, Husband, White, Male,-51,0,40, Canada, <=50K
25, Private,449855, Masters,10, Never-married, Tech-support, Not-in-family, White, Male,-8,2,45, United-States, >50K
23, ?,123326, Some-college,10, Never-married, ?, Own-child, White, Male,-18,1,15, United-States, <=50K
42, Private,106115, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,24,-1,55, United-States, >50K
26, Private,187100, Some-college,10, Married-civ-spouse, ?, Own-child, White, Male,-44,-1,36, Mexico, <=50K
45, Self-emp-not-inc,261471, Bachelors,11, Married-civ-spouse, Exec-managerial, Husband, White, Female,16,2,40, Ireland, <=50K
50, Private,105188, Masters,9, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,9,-2,40, United-States, <=50K
39, Self-emp-not-inc,45973, Bachelors,13, Married-civ-spouse, Farming-fishing, Husband, White, Male,7,-2,40, United-States, <=50K
44, Private,30782, Some-college,9, Married-civ-spouse, Craft-repair, Husband, White, Male,-32,1,40, United-States, <=50K
34, Private,141749, 5th-6th,10, Never-married, Exec-managerial, Unmarried, White, Male,8,-1,21, United-States, <=50K
